N_unmapped	500207	500207	500207
N_multimapping	284969	284969	284969
N_noFeature	431373	2296209	2291777
N_ambiguous	161096	23341	23285
ENSDARG00000104632	0	0	0
ENSDARG00000100660	4	0	4
ENSDARG00000098417	0	0	0
ENSDARG00000100422	174	86	88
ENSDARG00000102128	4	1	4
ENSDARG00000103095	28	13	15
ENSDARG00000102226	26	13	13
ENSDARG00000104049	49	27	22
ENSDARG00000102474	19	14	6
ENSDARG00000100143	12	6	6
ENSDARG00000104839	1	0	1
ENSDARG00000104373	34	19	17
ENSDARG00000098311	14	9	5
ENSDARG00000102121	0	0	0
ENSDARG00000102123	40	25	15
ENSDARG00000102141	12	6	6
ENSDARG00000105725	0	0	0
ENSDARG00000099787	7	3	4
ENSDARG00000070546	73	39	34
ENSDARG00000045914	1775	888	887
ENSDARG00000045913	686	332	354
ENSDARG00000045911	3	1	2
ENSDARG00000045910	81	38	44
ENSDARG00000045909	328	176	153
ENSDARG00000025073	4439	2184	2255
ENSDARG00000084828	1	0	1
ENSDARG00000084784	0	0	0
ENSDARG00000095951	0	0	0
ENSDARG00000093924	0	0	0
ENSDARG00000108269	0	0	0
ENSDARG00000084451	0	0	0
ENSDARG00000106668	0	0	0
ENSDARG00000031737	0	0	0
ENSDARG00000099652	49	15	34
ENSDARG00000101047	79	59	58
ENSDARG00000102104	0	22	16
ENSDARG00000099833	38	20	18
ENSDARG00000103870	30	16	14
ENSDARG00000107297	0	0	0
ENSDARG00000096118	316	167	165
ENSDARG00000045900	15	14	17
ENSDARG00000016968	144	74	70
ENSDARG00000102878	68	38	30
ENSDARG00000059311	11	6	5
ENSDARG00000017386	1	0	1
ENSDARG00000045898	188	89	99
ENSDARG00000006060	26	12	14
ENSDARG00000103050	0	0	0
ENSDARG00000104018	931	473	458
ENSDARG00000070535	4	2	2
ENSDARG00000013789	4	4	0
ENSDARG00000063686	111	50	61
ENSDARG00000087962	78	39	39
ENSDARG00000099313	234	103	131
ENSDARG00000103102	0	0	0
ENSDARG00000107902	0	0	0
ENSDARG00000102157	0	0	0
ENSDARG00000098612	0	0	0
ENSDARG00000100898	0	0	0
ENSDARG00000102340	11	6	5
ENSDARG00000099129	15	8	7
ENSDARG00000101813	1812	893	919
ENSDARG00000107640	23	10	13
ENSDARG00000106927	0	0	0
ENSDARG00000107853	0	0	0
ENSDARG00000098551	1	1	0
ENSDARG00000025601	0	0	0
ENSDARG00000063672	34	15	19
ENSDARG00000018149	152	78	74
ENSDARG00000095920	0	0	0
ENSDARG00000045886	229	122	107
ENSDARG00000045885	51	29	22
ENSDARG00000007413	44	23	21
ENSDARG00000097341	4	0	4
ENSDARG00000045880	8	6	2
ENSDARG00000009657	510	251	259
ENSDARG00000093658	65	34	31
ENSDARG00000026839	519	276	243
ENSDARG00000016979	94	111	103
ENSDARG00000070477	110	111	119
ENSDARG00000045878	23	16	7
ENSDARG00000045877	829	430	399
ENSDARG00000079391	322	163	159
ENSDARG00000015921	632	314	318
ENSDARG00000099520	0	0	0
ENSDARG00000061544	3	1	2
ENSDARG00000108289	0	0	0
ENSDARG00000020812	0	0	0
ENSDARG00000094007	0	0	0
ENSDARG00000093685	0	0	0
ENSDARG00000059196	0	0	0
ENSDARG00000009262	2	0	2
ENSDARG00000018618	422	205	217
ENSDARG00000045874	501	343	361
ENSDARG00000057468	0	100	103
ENSDARG00000045873	13	7	6
ENSDARG00000079143	3	1	2
ENSDARG00000057714	12	5	7
ENSDARG00000045224	2	2	0
ENSDARG00000011246	149	72	77
ENSDARG00000053709	0	0	0
ENSDARG00000039724	3	1	2
ENSDARG00000070441	12	6	6
ENSDARG00000011961	52	28	24
ENSDARG00000008986	230	127	103
ENSDARG00000008235	83	43	40
ENSDARG00000107595	0	0	0
ENSDARG00000004592	1	0	1
ENSDARG00000006567	82	36	46
ENSDARG00000016231	50	29	21
ENSDARG00000016749	6	3	3
ENSDARG00000004227	5	5	0
ENSDARG00000006038	119	46	73
ENSDARG00000045870	16	10	6
ENSDARG00000060248	0	0	0
ENSDARG00000017757	4	2	2
ENSDARG00000030598	11	6	5
ENSDARG00000077356	4	6	4
ENSDARG00000097907	0	1	5
ENSDARG00000089860	0	0	0
ENSDARG00000097073	0	0	1
ENSDARG00000039843	27	12	16
ENSDARG00000077654	0	0	0
ENSDARG00000070414	0	0	0
ENSDARG00000067495	0	0	0
ENSDARG00000045867	0	0	0
ENSDARG00000095979	1	0	1
ENSDARG00000094531	0	0	0
ENSDARG00000107035	0	0	0
ENSDARG00000033296	7	6	1
ENSDARG00000104357	0	0	0
ENSDARG00000107003	0	0	0
ENSDARG00000006283	97	46	51
ENSDARG00000045864	4	3	1
ENSDARG00000045863	0	0	0
ENSDARG00000106454	0	0	0
ENSDARG00000108426	0	0	0
ENSDARG00000093470	0	0	0
ENSDARG00000106849	0	0	0
ENSDARG00000105985	0	0	0
ENSDARG00000108904	0	0	0
ENSDARG00000106480	0	0	0
ENSDARG00000105162	17	5	12
ENSDARG00000107526	37	19	18
ENSDARG00000016691	571	297	274
ENSDARG00000101363	2	2	0
ENSDARG00000095042	0	0	0
ENSDARG00000100963	9	1	8
ENSDARG00000059043	16	6	10
ENSDARG00000075281	10	4	6
ENSDARG00000023766	46	33	22
ENSDARG00000097286	0	4	5
ENSDARG00000039356	78	36	42
ENSDARG00000059064	111	57	55
ENSDARG00000099725	0	0	1
ENSDARG00000090401	26	13	13
ENSDARG00000063578	11	4	7
ENSDARG00000106466	0	0	0
ENSDARG00000063563	73	27	46
ENSDARG00000039350	851	435	416
ENSDARG00000073963	31	16	15
ENSDARG00000069607	0	0	0
ENSDARG00000059053	1	0	1
ENSDARG00000092677	25	53	42
ENSDARG00000020871	54	60	64
ENSDARG00000039346	384	190	194
ENSDARG00000101565	8	3	5
ENSDARG00000108170	0	0	0
ENSDARG00000097044	59	28	31
ENSDARG00000059003	0	0	0
ENSDARG00000039343	90	44	46
ENSDARG00000039340	153	73	80
ENSDARG00000070408	12	7	5
ENSDARG00000045858	24	13	11
ENSDARG00000045856	0	0	0
ENSDARG00000045854	0	0	0
ENSDARG00000045853	107	58	49
ENSDARG00000045851	3	2	1
ENSDARG00000095324	0	0	0
ENSDARG00000015623	0	0	0
ENSDARG00000030694	461	223	238
ENSDARG00000096037	11	7	4
ENSDARG00000045850	173	97	77
ENSDARG00000015931	12	9	5
ENSDARG00000063481	6	2	4
ENSDARG00000045847	294	164	131
ENSDARG00000045846	279	138	141
ENSDARG00000045843	1309	637	673
ENSDARG00000045842	49	58	52
ENSDARG00000095332	19	39	41
ENSDARG00000014395	7	1	6
ENSDARG00000045837	8	4	4
ENSDARG00000094254	0	0	0
ENSDARG00000097507	39	15	24
ENSDARG00000095186	0	0	0
ENSDARG00000096986	25	13	12
ENSDARG00000097353	13	6	7
ENSDARG00000018770	0	0	0
ENSDARG00000045836	345	164	181
ENSDARG00000006409	404	192	212
ENSDARG00000045835	14	9	5
ENSDARG00000045834	0	0	0
ENSDARG00000034700	66	32	35
ENSDARG00000024465	624	302	322
ENSDARG00000017355	34	21	13
ENSDARG00000031956	52	26	26
ENSDARG00000108725	0	0	0
ENSDARG00000070220	32	15	17
ENSDARG00000075956	2	2	0
ENSDARG00000009607	310	157	153
ENSDARG00000054321	0	0	0
ENSDARG00000024654	71	40	31
ENSDARG00000040610	58	75	56
ENSDARG00000003200	2	39	44
ENSDARG00000100253	0	3	2
ENSDARG00000091640	69	40	29
ENSDARG00000073858	130	60	70
ENSDARG00000088078	0	0	0
ENSDARG00000099560	26	13	16
ENSDARG00000087120	0	2	1
ENSDARG00000099280	75	122	122
ENSDARG00000101680	227	193	203
ENSDARG00000108949	0	0	0
ENSDARG00000098745	113	57	56
ENSDARG00000108490	0	0	0
ENSDARG00000074223	8	3	5
ENSDARG00000093020	0	0	0
ENSDARG00000091974	2	2	0
ENSDARG00000005453	10	7	3
ENSDARG00000090468	1	0	1
ENSDARG00000099281	301	152	149
ENSDARG00000068701	6	4	2
ENSDARG00000097967	0	0	0
ENSDARG00000068705	9	2	7
ENSDARG00000068708	331	164	167
ENSDARG00000024874	35	11	24
ENSDARG00000096138	0	0	0
ENSDARG00000084778	0	0	0
ENSDARG00000106100	0	0	0
ENSDARG00000106644	0	0	0
ENSDARG00000107521	0	0	0
ENSDARG00000102849	0	0	0
ENSDARG00000107816	0	0	0
ENSDARG00000106337	0	0	0
ENSDARG00000102702	8	4	4
ENSDARG00000102461	0	0	0
ENSDARG00000101296	0	0	0
ENSDARG00000099870	0	0	0
ENSDARG00000070314	89	52	37
ENSDARG00000045822	0	0	0
ENSDARG00000105079	0	0	0
ENSDARG00000107275	0	0	0
ENSDARG00000108901	0	0	0
ENSDARG00000107616	0	0	0
ENSDARG00000101254	9	6	4
ENSDARG00000018688	247	123	136
ENSDARG00000006029	90	53	48
ENSDARG00000108043	0	0	0
ENSDARG00000079470	15	7	8
ENSDARG00000105096	0	0	0
ENSDARG00000104976	0	0	0
ENSDARG00000086740	25	11	14
ENSDARG00000027799	0	0	0
ENSDARG00000045815	10	6	4
ENSDARG00000078073	183	80	103
ENSDARG00000075025	217	105	112
ENSDARG00000074905	3	3	0
ENSDARG00000026052	10	3	7
ENSDARG00000002663	20	10	10
ENSDARG00000074547	0	0	0
ENSDARG00000076313	0	0	0
ENSDARG00000074613	0	0	0
ENSDARG00000039392	51	28	23
ENSDARG00000039393	0	0	0
ENSDARG00000108662	0	0	0
ENSDARG00000081119	0	0	0
ENSDARG00000079824	0	0	0
ENSDARG00000076014	4	1	3
ENSDARG00000106572	0	0	0
ENSDARG00000031930	0	0	0
ENSDARG00000102464	14	6	9
ENSDARG00000081240	0	0	0
ENSDARG00000045801	18	10	8
ENSDARG00000096855	7	5	3
ENSDARG00000101849	32	17	15
ENSDARG00000093557	0	0	0
ENSDARG00000107102	5	2	3
ENSDARG00000108559	0	0	0
ENSDARG00000103537	54	28	26
ENSDARG00000102020	1	1	0
ENSDARG00000101967	9	6	3
ENSDARG00000088181	10	5	5
ENSDARG00000063097	18	9	9
ENSDARG00000039681	43	23	20
ENSDARG00000070230	14	7	7
ENSDARG00000077926	53	23	30
ENSDARG00000073881	44	39	34
ENSDARG00000034375	5	14	20
ENSDARG00000039185	603	285	322
ENSDARG00000058127	197	98	103
ENSDARG00000045788	3	2	1
ENSDARG00000045789	2	1	1
ENSDARG00000045790	162	95	67
ENSDARG00000058159	15	6	9
ENSDARG00000063149	18	9	9
ENSDARG00000016538	0	0	0
ENSDARG00000025859	196	106	90
ENSDARG00000058042	1	1	0
ENSDARG00000088044	3	1	2
ENSDARG00000091656	852	452	400
ENSDARG00000099821	8	7	1
ENSDARG00000063054	9	5	4
ENSDARG00000075501	4	2	2
ENSDARG00000058030	1047	535	512
ENSDARG00000045704	71	36	35
ENSDARG00000045705	42	16	26
ENSDARG00000033179	101	54	47
ENSDARG00000094000	6	3	3
ENSDARG00000093445	5	3	2
ENSDARG00000096009	0	0	0
ENSDARG00000025824	25	16	9
ENSDARG00000004386	12	7	5
ENSDARG00000045706	136	62	74
ENSDARG00000094732	8	4	4
ENSDARG00000057983	452	232	220
ENSDARG00000063008	6	2	4
ENSDARG00000057974	177	75	102
ENSDARG00000086650	0	0	0
ENSDARG00000003570	234	116	125
ENSDARG00000057942	0	2	5
ENSDARG00000062983	83	44	39
ENSDARG00000045708	14	6	8
ENSDARG00000070126	30	17	13
ENSDARG00000062968	379	191	188
ENSDARG00000057929	274	140	134
ENSDARG00000057921	0	0	0
ENSDARG00000108805	1	0	1
ENSDARG00000018820	45	22	23
ENSDARG00000106496	0	0	0
ENSDARG00000032799	0	0	0
ENSDARG00000032389	6	2	4
ENSDARG00000034326	264	134	130
ENSDARG00000045747	3	1	2
ENSDARG00000106389	0	0	0
ENSDARG00000094973	3	1	2
ENSDARG00000045748	79	45	34
ENSDARG00000094597	2	1	1
ENSDARG00000092922	9	3	6
ENSDARG00000097175	0	0	0
ENSDARG00000093853	0	0	0
ENSDARG00000095446	0	0	0
ENSDARG00000093014	3	1	2
ENSDARG00000096967	12	10	2
ENSDARG00000045749	40	21	30
ENSDARG00000095994	0	7	4
ENSDARG00000045750	1	1	0
ENSDARG00000095981	0	0	0
ENSDARG00000045752	1	1	0
ENSDARG00000092989	0	0	0
ENSDARG00000045753	17	8	9
ENSDARG00000045754	17	10	13
ENSDARG00000045755	18	105	120
ENSDARG00000096083	14	117	98
ENSDARG00000096010	0	0	0
ENSDARG00000096184	0	0	0
ENSDARG00000096047	0	0	0
ENSDARG00000094603	0	0	0
ENSDARG00000096156	0	0	0
ENSDARG00000107596	0	0	0
ENSDARG00000096187	0	0	0
ENSDARG00000096039	0	0	0
ENSDARG00000096153	0	0	0
ENSDARG00000045758	6	6	3
ENSDARG00000045760	0	2	1
ENSDARG00000001781	15	16	21
ENSDARG00000096114	0	11	11
ENSDARG00000096218	0	0	0
ENSDARG00000096131	0	0	0
ENSDARG00000094545	0	0	0
ENSDARG00000019235	53	22	31
ENSDARG00000063299	3	1	2
ENSDARG00000070015	0	0	0
ENSDARG00000003822	61	35	26
ENSDARG00000005451	1041	540	501
ENSDARG00000079698	11	6	5
ENSDARG00000045765	3	0	3
ENSDARG00000109078	0	0	0
ENSDARG00000032765	521	260	261
ENSDARG00000081841	0	0	0
ENSDARG00000081284	0	0	0
ENSDARG00000096147	0	0	0
ENSDARG00000108311	0	0	0
ENSDARG00000025576	48	22	26
ENSDARG00000031228	279	138	141
ENSDARG00000096099	3	3	0
ENSDARG00000093427	7	1	6
ENSDARG00000092083	1	0	1
ENSDARG00000094299	1	0	1
ENSDARG00000005891	96	43	53
ENSDARG00000063255	5	3	2
ENSDARG00000094457	1	0	1
ENSDARG00000045768	56	30	26
ENSDARG00000032242	113	58	55
ENSDARG00000058366	200	85	115
ENSDARG00000108466	0	0	0
ENSDARG00000106332	0	0	0
ENSDARG00000107235	0	0	0
ENSDARG00000017661	17	6	11
ENSDARG00000020015	228	114	114
ENSDARG00000006747	12	12	1
ENSDARG00000094980	0	1	0
ENSDARG00000108090	0	0	0
ENSDARG00000007639	53	26	27
ENSDARG00000041665	42	19	23
ENSDARG00000087319	2	2	0
ENSDARG00000058244	5	3	2
ENSDARG00000095461	0	0	0
ENSDARG00000103365	0	0	0
ENSDARG00000074873	0	0	0
ENSDARG00000104625	0	0	0
ENSDARG00000103215	0	0	0
ENSDARG00000019396	0	0	0
ENSDARG00000013476	116	53	63
ENSDARG00000085437	0	0	0
ENSDARG00000008720	168	93	75
ENSDARG00000032618	60	33	27
ENSDARG00000022165	21	9	12
ENSDARG00000109192	0	0	0
ENSDARG00000005897	36	23	13
ENSDARG00000053127	21	6	15
ENSDARG00000053131	2	1	1
ENSDARG00000053136	27	15	12
ENSDARG00000069912	172	89	83
ENSDARG00000106978	1	0	1
ENSDARG00000045658	56	28	28
ENSDARG00000015824	87	46	41
ENSDARG00000005541	47	26	21
ENSDARG00000078613	11	8	3
ENSDARG00000014361	649	328	321
ENSDARG00000094001	0	0	0
ENSDARG00000097457	2	1	1
ENSDARG00000096135	6	2	5
ENSDARG00000106390	14	11	4
ENSDARG00000015053	40	22	18
ENSDARG00000108965	29	17	12
ENSDARG00000108427	32	13	19
ENSDARG00000108089	1	0	1
ENSDARG00000017841	337	173	164
ENSDARG00000045669	54	28	26
